Item	Category	Sources
Idealized Pteroslaver Subligar	Acquire	Idealized Leg Gear Coffer
Shadowless Skirt of Fending	Instance	The Heroes' Gauntlet
Idealized Ebers Skirt	Acquire	Idealized Leg Gear Coffer
Idealized Fili Bottoms	Acquire	Idealized Leg Gear Coffer
Filibuster's Choker of Casting	Instance	Baelsar's Wall	Sohm Al (Hard)
Midan Neckband of Casting	Instance	Alexander - The Fist of the Son (Savage)
Midan Neckband of Fending	Instance	Alexander - The Fist of the Son (Savage)
Augmented Primal Choker of Casting	Acquire	Primal Accessories of Casting Coffer
Filibuster's Choker of Aiming	Instance	Baelsar's Wall	Sohm Al (Hard)
Augmented Primal Choker of Slaying	Acquire	Primal Accessories of Slaying Coffer
Midan Neckband of Aiming	Instance	Alexander - The Fist of the Son (Savage)
Filibuster's Choker of Slaying	Instance	Baelsar's Wall	Sohm Al (Hard)
Midan Neckband of Slaying	Instance	Alexander - The Fist of the Son (Savage)
Midan Neckband of Healing	Instance	Alexander - The Fist of the Son (Savage)
Augmented Primal Choker of Aiming	Acquire	Primal Accessories of Aiming Coffer
Augmented Primal Choker of Fending	Acquire	Primal Accessories of Fending Coffer
Valkyrie's Choker of Healing	Instance	Xelphatol	The Great Gubal Library (Hard)
Berserker's Scarf	Instance	Sohr Khai	Hullbreaker Isle (Hard)
Filibuster's Choker of Fending	Instance	Baelsar's Wall	Sohm Al (Hard)
Viking Scarf	Instance	Sohr Khai	Hullbreaker Isle (Hard)
Valkyrie's Choker of Slaying	Instance	Xelphatol	The Great Gubal Library (Hard)
Filibuster's Choker of Healing	Instance	Baelsar's Wall	Sohm Al (Hard)
Valkyrie's Choker of Aiming	Instance	Xelphatol	The Great Gubal Library (Hard)
Wrangler's Scarf	Instance	Sohr Khai	Hullbreaker Isle (Hard)
Valkyrie's Choker of Fending	Instance	Xelphatol	The Great Gubal Library (Hard)
Prophet's Scarf	Instance	Sohr Khai	Hullbreaker Isle (Hard)
Panegyrist's Scarf	Instance	Sohr Khai	Hullbreaker Isle (Hard)
Augmented Primal Choker of Healing	Acquire	Primal Accessories of Healing Coffer
Valkyrie's Choker of Casting	Instance	Xelphatol	The Great Gubal Library (Hard)
High Allagan Choker of Aiming	Instance	The Second Coil of Bahamut - Turn 3	The Second Coil of Bahamut (Savage) - Turn 3
High Allagan Choker of Casting	Instance	The Second Coil of Bahamut - Turn 1	The Second Coil of Bahamut (Savage) - Turn 1
High Allagan Choker of Fending	Instance	The Second Coil of Bahamut - Turn 2	The Second Coil of Bahamut (Savage) - Turn 2
Bogatyr's Necklace of Healing	Instance	The Keeper of the Lake	The Wanderer's Palace (Hard)
Ribbon of Slaying	Instance	Thornmarch (Extreme)
Picaroon's Necklace of Slaying	Instance	The Keeper of the Lake	The Wanderer's Palace (Hard)
Ribbon of Fending	Instance	Thornmarch (Extreme)
Ribbon of Healing	Instance	Thornmarch (Extreme)
High Allagan Choker of Healing	Instance	The Second Coil of Bahamut - Turn 2	The Second Coil of Bahamut (Savage) - Turn 2
Ribbon of Casting	Instance	Thornmarch (Extreme)
Ribbon of Aiming	Instance	Thornmarch (Extreme)
Allagan Choker of Aiming	Instance	The Binding Coil of Bahamut - Turn 4
Allagan Choker of Fending	Instance	The Binding Coil of Bahamut - Turn 1
Allagan Choker of Maiming	Instance	The Binding Coil of Bahamut - Turn 2
Hero's Necklace of Fending	Instance	Snowcloak	Sastasha (Hard)	The Sunken Temple of Qarn (Hard)
Varlet's Necklace	Instance	The Wanderer's Palace (Hard)	Amdapor Keep (Hard)
High Allagan Choker of Slaying	Instance	The Second Coil of Bahamut - Turn 2	The Second Coil of Bahamut (Savage) - Turn 2
Bogatyr's Necklace of Casting	Instance	The Keeper of the Lake	Amdapor Keep (Hard)
Hero's Necklace of Slaying	Instance	Snowcloak	Sastasha (Hard)	The Sunken Temple of Qarn (Hard)
Allagan Choker of Striking	Instance	The Binding Coil of Bahamut - Turn 4
Bogatyr's Necklace of Aiming	Instance	The Keeper of the Lake	Amdapor Keep (Hard)
Boots of the Lost Thief	Instance	Saint Mocianne's Arboretum	Pharos Sirius (Hard)
Void Ark Boots of Aiming	Instance	The Void Ark
Void Ark Boots of Healing	Instance	The Void Ark
Dravanian Jackboots of Casting	Instance	The Antitower	The Lost City of Amdapor (Hard)
Boots of the Defiant Duelist	Instance	Saint Mocianne's Arboretum	Pharos Sirius (Hard)
Boots of the Ghost Thief	Instance	Saint Mocianne's Arboretum	Pharos Sirius (Hard)
Dravanian Thighboots of Striking	Instance	The Antitower	The Lost City of Amdapor (Hard)
Boots of the Red Thief	Instance	Saint Mocianne's Arboretum	Pharos Sirius (Hard)
Dravanian Thighboots of Scouting	Instance	The Antitower	The Lost City of Amdapor (Hard)
Dravanian Greaves of Fending	Instance	The Antitower	The Lost City of Amdapor (Hard)
Dravanian Greaves of Maiming	Instance	The Antitower	The Lost City of Amdapor (Hard)
Void Ark Shoes of Scouting	Instance	The Void Ark
Void Ark Boots of Casting	Instance	The Void Ark
Dravanian Thighboots of Aiming	Instance	The Antitower	The Lost City of Amdapor (Hard)
Boots of the Daring Duelist	Instance	Saint Mocianne's Arboretum	Pharos Sirius (Hard)
Dravanian Jackboots of Healing	Instance	The Antitower	The Lost City of Amdapor (Hard)
Halonic Exorcist's Ring	Instance	The Vault
Valerian Smuggler's Ring	Instance	Neverreap	The Fractal Continuum
Valerian Fusilier's Ring	Instance	Neverreap	The Fractal Continuum
Valerian Terror Knight's Ring	Instance	Neverreap	The Fractal Continuum
Valerian Shaman's Ring	Instance	Neverreap	The Fractal Continuum
Sharlayan Pankratiast's Ring	Instance	The Great Gubal Library
Valerian Wizard's Ring	Instance	Neverreap	The Fractal Continuum
Sharlayan Philosopher's Ring	Instance	The Great Gubal Library
Halonic Inquisitor's Ring	Instance	The Vault
Halonic Auditor's Ring	Instance	The Vault
Orthodox Ring of Aiming	Instance	The Aery
Orthodox Ring of Fending	Instance	The Aery
Sharlayan Conservator's Ring	Instance	The Great Gubal Library
Orthodox Ring of Healing	Instance	The Aery
Halonic Friar's Ring	Instance	The Vault
Orthodox Ring of Casting	Instance	The Aery
Orthodox Ring of Slaying	Instance	The Aery
Sharlayan Preceptor's Ring	Instance	The Great Gubal Library
Sharlayan Custodian's Ring	Instance	The Great Gubal Library
Halonic Priest's Ring	Instance	The Vault
Biast Scales	Drop	Mists Biast
Rhino Beetle Carapace	Drop	Scarab Beetle	Rhino Beetle
Rhino Beetle Carapace	Instance	Doma Castle	The Burn	Shisui of the Violet Tides	The Fractal Continuum (Hard)	The Ghimlyt Dark	The Swallow's Compass	Bardam's Mettle	Hells' Lid	Castrum Abania	The Drowned City of Skalla	Saint Mocianne's Arboretum (Hard)	The Sirensong Sea
Griffin Talon	Drop	Akhekhu	Griffin
Antelope Horn	Drop	Antelope Stag
Island Wolf Fang	Drop	Island Wolf
Adamantoise Shell	Drop	Aspidochelone	Bronze Tortoise	Iron Tortoise	Lacovie
Goobbue Fang	Drop	Goobbue	Hoary Goobbue	Jolly Green	Jungle Goobbue	Mildewed Goobbue	Shezmu	Goobbue Farmer	Mossless Goobbue	Highland Goobbue	Snowstorm Goobbue
Bombfish Spine	Drop	Bombfish	Hooked Bombfish
Bombfish Spine	Instance	The Burn	The Fractal Continuum (Hard)	The Ghimlyt Dark	The Swallow's Compass	Hells' Lid	The Drowned City of Skalla	Saint Mocianne's Arboretum (Hard)
Bone Chip	Drop	Dead Man's Moan	Magicked Bones	Skeleton Soldier
Hippogryph Sinew	Drop	Hippocerf	Gwyllgi	Hippogryph
Dragon Scale	Drop	Ice Dragon	Blood Dragon	Moss Dragon	Thunder Dragon
Dzo Horn	Drop	Steppe Dzo
Dzo Horn	Instance	Doma Castle	The Burn	Shisui of the Violet Tides	The Fractal Continuum (Hard)	The Ghimlyt Dark	The Swallow's Compass	Bardam's Mettle	Hells' Lid	Castrum Abania	The Drowned City of Skalla	Saint Mocianne's Arboretum (Hard)	The Sirensong Sea
Sea Swallow Skin	Drop	Tempest Swallow
Bat Fang	Drop	Cave Bat	Dusk Bat	Black Bat	Blood Bat	Lesser Kalong	Lesser Kalong	Snakemolt Bat	Sun Bat
Muud Suud Horn	Drop	Muud Suud	Ruud Suud
Muud Suud Horn	Instance	Doma Castle	The Burn	Shisui of the Violet Tides	The Fractal Continuum (Hard)	The Ghimlyt Dark	The Swallow's Compass	Bardam's Mettle	Hells' Lid	Castrum Abania	The Drowned City of Skalla	Saint Mocianne's Arboretum (Hard)	The Sirensong Sea
Zonure Skin	Drop	Flame Zonure
Diremite Sinew	Drop	Banemite	Heavy Banemite	Miteling	Banemite Straggler	Miteling Straggler
Dodore Wing	Instance	The Aurum Vale
Sandworm Fang	Drop	Giant Sandworm	Sandworm	Ulhuadshi	Wellwick Worm
Cactuar Needle	Drop	Sabotender Del Sol	Sabotender	Sabotender Bailaor
Blue Yarzon Leg	Drop	Forest Yarzon	River Yarzon	Daddy Longlegs
Yellow Yarzon Leg	Drop	Yarzon Scavenger	Russet Yarzon
Raptor Sinew	Drop	Grass Raptor	Velociraptor	Territorial Raptor	Lindwurm	Ruins Runner
Mossy Horn	Instance	The Aurum Vale
Wolf Fang	Drop	Wild Jackal	Wild Wolf	Watchwolf	Natalan Watchwolf	Snow Wolf	Snow Wolf Pup
Yeti Fang	Drop	Lone Yeti	Slate Yeti
Aldgoat Horn	Drop	Elder Longhorn	Longhorn Billygoat	Longhorn Nannygoat	Mourning Billy	Mourning Nanny	Myotragus Billy	Myotragus Nanny
Dragon Fang	Drop	Ice Dragon	Blood Dragon	Moss Dragon	Thunder Dragon
Animal Sinew	Drop	Clever Hedgemole	Moraby Mole	Hedgemole	Sewer Mole	Snapping Shrew	Snipping Shrew	Untamed Shrew	Ironquill Tuco-tuco	Tuco-tuco
Green Glider Skin	Drop	Green Glider
Smilodon Skin	Drop	Smilodon
Beast Sinew	Drop	Antelope Doe	Antelope Stag	Scarred Antelope	Sirocco
Green Megalocrab Shell	Drop	Megalocrab	Shearing Sheridan	Old Six-arms
Ram Horn	Drop	Lost Lamb
Ogre Horn	Drop	Bolthorn	Vindthurs	Elder Hapalit	Hapalit	Porus	Scabrous Hapalit
Atrociraptor Skin	Drop	Atrociraptor
Drake Scales	Drop	Mists Drake	Wrothful Drake
Gazelle Horn	Drop	Gazelle	Stray Gazelle
Gazelle Horn	Instance	Doma Castle	The Burn	Shisui of the Violet Tides	The Fractal Continuum (Hard)	The Ghimlyt Dark	The Swallow's Compass	Bardam's Mettle	Hells' Lid	Castrum Abania	The Drowned City of Skalla	Saint Mocianne's Arboretum (Hard)	The Sirensong Sea
Hetairos Jackboots	Instance	Pharos Sirius	Haukke Manor (Hard)
Shikaree's Boots	Instance	Halatali (Hard)	Brayflox's Longstop (Hard)
Darklight Sollerets	Instance	Halatali (Hard)	Brayflox's Longstop (Hard)
Vermilion Sollerets	Instance	The Wanderer's Palace	Amdapor Keep
Demagogue Pattens	Instance	Pharos Sirius	Copperbell Mines (Hard)
Hoplite Sabatons	Instance	Pharos Sirius
Blessed Espadrilles	Instance	Pharos Sirius	Haukke Manor (Hard)
Pilgrim's Shoes	Instance	Brayflox's Longstop (Hard)
Magician's Shoes	Instance	The Lost City of Amdapor
Darklight Caligae of Striking	Instance	The Lost City of Amdapor
Peltast Leggings	Instance	Haukke Manor (Hard)
Toxotes Moccasins	Instance	Copperbell Mines (Hard)	Haukke Manor (Hard)
Protector's Sollerets	Instance	The Lost City of Amdapor	Halatali (Hard)
War Caligae	Instance	Pharos Sirius	Copperbell Mines (Hard)
Darklight Boots of Healing	Instance	The Lost City of Amdapor	Halatali (Hard)
Noble's Leg Guards	Instance	Pharos Sirius
Fistfighter's Jackboots	Instance	Halatali (Hard)	Brayflox's Longstop (Hard)
Darklight Boots of Casting	Instance	Halatali (Hard)	Brayflox's Longstop (Hard)
Strategos Duckbills	Instance	Copperbell Mines (Hard)
Austere Leggings	Instance	Haukke Manor (Hard)
Hussar's Jackboots	Instance	The Lost City of Amdapor
Darklight Caligae of Aiming	Instance	The Lost City of Amdapor
Lord's Sabatons	Instance	Copperbell Mines (Hard)	Haukke Manor (Hard)
Thick Sollerets	Instance	Copperbell Mines (Hard)
Cosmos Partition	Instance	The Grand Cosmos
Verdant Partition	Instance	Saint Mocianne's Arboretum (Hard)
Anamnesis Bracelet of Healing	Instance	Anamnesis Anyder
Warg Bracelet of Aiming	Instance	The Grand Cosmos
Warg Bracelet of Healing	Instance	The Grand Cosmos
Anamnesis Bracelet of Slaying	Instance	Anamnesis Anyder
Petalite Bracelet of Healing	Acquire	High Mythril Bracelet Coffer
Immaculate Bracelets of Casting	Instance	The Crown of the Immaculate (Extreme)
The Forgiven's Bracelet of Casting	Instance	Mt. Gulg
Warg Bracelet of Fending	Instance	The Grand Cosmos
Amaurotine Bracelets of Aiming	Instance	Amaurot	The Twinning	Akadaemia Anyder
Nabaath Wristband of Aiming	Instance	Malikah's Well
Petalite Bracelet of Fending	Acquire	High Mythril Bracelet Coffer
The Forgiven's Bracelet of Healing	Instance	Mt. Gulg
Amaurotine Bracelets of Fending	Instance	Amaurot	The Twinning	Akadaemia Anyder
Warg Bracelet of Slaying	Instance	The Grand Cosmos
Nabaath Wristband of Fending	Instance	Malikah's Well
Immaculate Bracelets of Healing	Instance	The Crown of the Immaculate (Extreme)
Anamnesis Bracelet of Casting	Instance	Anamnesis Anyder
Immaculate Bracelets of Slaying	Instance	The Crown of the Immaculate (Extreme)
The Forgiven's Bracelet of Slaying	Instance	Mt. Gulg
The Forgiven's Bracelet of Aiming	Instance	Mt. Gulg
Anamnesis Bracelet of Aiming	Instance	Anamnesis Anyder
Immaculate Bracelets of Aiming	Instance	The Crown of the Immaculate (Extreme)
Amaurotine Bracelets of Casting	Instance	Amaurot	The Twinning	Akadaemia Anyder
Petalite Bracelet of Casting	Acquire	High Mythril Bracelet Coffer
Immaculate Bracelets of Fending	Instance	The Crown of the Immaculate (Extreme)
Amaurotine Bracelets of Healing	Instance	Amaurot	The Twinning	Akadaemia Anyder
Anamnesis Bracelet of Fending	Instance	Anamnesis Anyder
Petalite Bracelet of Aiming	Acquire	High Mythril Bracelet Coffer
Amaurotine Bracelets of Slaying	Instance	Amaurot	The Twinning	Akadaemia Anyder
The Forgiven's Bracelet of Fending	Instance	Mt. Gulg
Nabaath Wristband of Slaying	Instance	Malikah's Well
Petalite Bracelet of Slaying	Acquire	High Mythril Bracelet Coffer
Warg Bracelet of Casting	Instance	The Grand Cosmos
The Forgiven's Ring of Casting	Instance	Mt. Gulg
The Forgiven's Ring of Healing	Instance	Mt. Gulg
Amaurotine Ring of Healing	Instance	Amaurot	The Twinning	Akadaemia Anyder
Amaurotine Ring of Casting	Instance	Amaurot	The Twinning	Akadaemia Anyder
Nabaath Leather Ring of Fending	Instance	Malikah's Well
Triplite Ring of Casting	Acquire	Titanbronze Ring Coffer
Ravel Keeper's Ring of Slaying	Instance	The Qitana Ravel
Triplite Ring of Slaying	Acquire	Titanbronze Ring Coffer
Diaspore Ring of Slaying	Acquire	Deepgold Ring Coffer
Lazurite Ring of Healing	Acquire	Bluespirit Ring Coffer
The Forgiven's Ring of Slaying	Instance	Mt. Gulg
Nabaath Leather Ring of Healing	Instance	Malikah's Well
The Forgiven's Ring of Fending	Instance	Mt. Gulg
Triplite Ring of Healing	Acquire	Titanbronze Ring Coffer
Ravel Keeper's Ring of Healing	Instance	The Qitana Ravel
Petalite Ring of Casting	Acquire	High Mythril Ring Coffer
Ravel Keeper's Ring of Fending	Instance	The Qitana Ravel
Nabaath Leather Ring of Aiming	Instance	Malikah's Well
Diaspore Ring of Aiming	Acquire	Deepgold Ring Coffer
Voeburtite Ring of Casting	Instance	Dohn Mheg
Nabaath Leather Ring of Casting	Instance	Malikah's Well
Ravel Keeper's Ring of Aiming	Instance	The Qitana Ravel
Lazurite Ring of Casting	Acquire	Bluespirit Ring Coffer
Amaurotine Ring of Fending	Instance	Amaurot	The Twinning	Akadaemia Anyder
Voeburtite Ring of Fending	Instance	Dohn Mheg
Petalite Ring of Aiming	Acquire	High Mythril Ring Coffer
Voeburtite Ring of Slaying	Instance	Dohn Mheg
Amaurotine Ring of Aiming	Instance	Amaurot	The Twinning	Akadaemia Anyder
Ravel Keeper's Ring of Casting	Instance	The Qitana Ravel
Diaspore Ring of Fending	Acquire	Deepgold Ring Coffer
Petalite Ring of Slaying	Acquire	High Mythril Ring Coffer
The Forgiven's Ring of Aiming	Instance	Mt. Gulg
Triplite Ring of Fending	Acquire	Titanbronze Ring Coffer
Petalite Ring of Fending	Acquire	High Mythril Ring Coffer
Diaspore Ring of Healing	Acquire	Deepgold Ring Coffer
Lazurite Ring of Slaying	Acquire	Bluespirit Ring Coffer
Amaurotine Ring of Slaying	Instance	Amaurot	The Twinning	Akadaemia Anyder
Lazurite Ring of Aiming	Acquire	Bluespirit Ring Coffer
Triplite Ring of Aiming	Acquire	Titanbronze Ring Coffer
Petalite Ring of Healing	Acquire	High Mythril Ring Coffer
Nabaath Leather Ring of Slaying	Instance	Malikah's Well
Lazurite Ring of Fending	Acquire	Bluespirit Ring Coffer
Diaspore Ring of Casting	Acquire	Deepgold Ring Coffer
Voeburtite Ring of Aiming	Instance	Dohn Mheg
Voeburtite Ring of Healing	Instance	Dohn Mheg
Good King Moggle Mog XII Card	Instance	Thornmarch (Hard)	Thornmarch (Extreme)
Demon Wall Card	Instance	Amdapor Keep	Amdapor Keep (Hard)
Livia sas Junius Card	Instance	Castrum Meridianum
Succubus Card	Instance	Haukke Manor	Haukke Manor (Hard)
Chimera Card	Instance	Cutter's Cry
Siren Card	Instance	Pharos Sirius
Gilgamesh & Enkidu Card	Instance	Battle on the Big Bridge
Ifrit Card	Instance	The Bowl of Embers (Hard)	The Bowl of Embers (Extreme)
Rhitahtyn sas Arvina Card	Instance	Cape Westwind
Titan Card	Instance	The Navel (Hard)	The Navel (Extreme)
Sahagin Card	Instance	Sastasha
Ultros & Typhon Card	Instance	The Dragon's Neck
Ultima Weapon Card	Instance	The Minstrel's Ballad: Ultima's Bane
Garuda Card	Instance	The Howling Eye (Hard)	The Howling Eye (Extreme)
Ramuh Card	Instance	The Striking Tree (Hard)	The Striking Tree (Extreme)
Odin Card	Instance	Urth's Fount
Blue Dragon Card	Instance	The Stone Vigil	The Stone Vigil (Hard)
Shiva Card	Instance	Akh Afah Amphitheatre (Hard)	Akh Afah Amphitheatre (Extreme)
Gaius van Baelsar Card	Instance	The Praetorium
Leviathan Card	Instance	The Whorleater (Hard)	The Whorleater (Extreme)
Bonewicca Bangle of Aiming	Instance	The Swallow's Compass
Bonewicca Bangle of Casting	Instance	The Swallow's Compass
Bonewicca Bangle of Healing	Instance	The Swallow's Compass
Genji Bracelet of Aiming	Instance	Deltascape V1.0 (Savage)
Genji Bracelet of Casting	Instance	Deltascape V1.0 (Savage)
Genji Bracelet of Healing	Instance	Deltascape V1.0 (Savage)
Bonewicca Bangle of Fending	Instance	The Swallow's Compass
Farlander Bangle of Slaying	Instance	The Fractal Continuum (Hard)	Hells' Lid
Genji Bracelet of Fending	Instance	Deltascape V1.0 (Savage)
Farlander Bangle of Casting	Instance	The Fractal Continuum (Hard)	Hells' Lid
Royal Volunteer's Bracelet of Healing	Instance	The Burn	Saint Mocianne's Arboretum (Hard)
Farlander Bangle of Aiming	Instance	The Fractal Continuum (Hard)	Hells' Lid
Lakshmi's Bracelet of Fending	Instance	Emanation (Extreme)
Genji Bracelet of Slaying	Instance	Deltascape V1.0 (Savage)
Bonewicca Bangle of Slaying	Instance	The Swallow's Compass
Farlander Bangle of Healing	Instance	The Fractal Continuum (Hard)	Hells' Lid
Lakshmi's Bracelet of Slaying	Instance	Emanation (Extreme)
Lakshmi's Bracelet of Aiming	Instance	Emanation (Extreme)
Farlander Bangle of Fending	Instance	The Fractal Continuum (Hard)	Hells' Lid
Earrings of the Divine War	Instance	The Stone Vigil (Hard)
Allagan Earrings of Casting	Instance	The Binding Coil of Bahamut - Turn 4
Demagogue Earrings	Instance	Pharos Sirius	Copperbell Mines (Hard)	Haukke Manor (Hard)
Allagan Earrings of Healing	Instance	The Binding Coil of Bahamut - Turn 1
Hero's Earrings of Aiming	Instance	Snowcloak	Sastasha (Hard)	The Sunken Temple of Qarn (Hard)
Darklight Earrings of Maiming	Instance	The Lost City of Amdapor	Halatali (Hard)	Brayflox's Longstop (Hard)
Allagan Earrings of Aiming	Instance	The Binding Coil of Bahamut - Turn 2
Toxotes Earrings	Instance	Pharos Sirius	Copperbell Mines (Hard)	Haukke Manor (Hard)
Hero's Earrings of Healing	Instance	Snowcloak	Sastasha (Hard)	The Sunken Temple of Qarn (Hard)
Darklight Earrings of Fending	Instance	The Lost City of Amdapor	Halatali (Hard)	Brayflox's Longstop (Hard)
Earrings of the Divine Harvest	Instance	The Stone Vigil (Hard)
Hoplite Earrings	Instance	Pharos Sirius	Copperbell Mines (Hard)	Haukke Manor (Hard)
Darklight Earrings of Aiming	Instance	The Lost City of Amdapor	Halatali (Hard)	Brayflox's Longstop (Hard)
Tremor Earrings of Healing	Instance	The Navel (Extreme)
Hero's Earrings of Casting	Instance	Snowcloak	Sastasha (Hard)	The Sunken Temple of Qarn (Hard)
Darklight Earrings of Striking	Instance	The Lost City of Amdapor	Halatali (Hard)	Brayflox's Longstop (Hard)
Strategos Earrings	Instance	Pharos Sirius	Copperbell Mines (Hard)	Haukke Manor (Hard)
Tremor Earrings of Aiming	Instance	The Navel (Extreme)
Earrings of the Divine Light	Instance	The Tam-Tara Deepcroft (Hard)
Darklight Earrings of Healing	Instance	The Lost City of Amdapor	Halatali (Hard)	Brayflox's Longstop (Hard)
Tremor Earrings of Casting	Instance	The Navel (Extreme)
Earrings of Divine Wisdom	Instance	The Tam-Tara Deepcroft (Hard)
Peltast Earrings	Instance	Pharos Sirius	Copperbell Mines (Hard)	Haukke Manor (Hard)
Darklight Earrings of Casting	Instance	The Lost City of Amdapor	Halatali (Hard)	Brayflox's Longstop (Hard)
Earrings of Divine Death	Instance	Hullbreaker Isle
Valerian Archer's Bracelet	Instance	Castrum Abania
Arhat Bracelets of Aiming	Instance	Ala Mhigo	The Temple of the Fist	Kugane Castle
Skallic Amulet of Casting	Instance	The Drowned City of Skalla
Lakshmi's Bracelet of Healing	Instance	Emanation (Extreme)
Skallic Amulet of Healing	Instance	The Drowned City of Skalla
Arhat Bracelets of Fending	Instance	Ala Mhigo	The Temple of the Fist	Kugane Castle
Skallic Amulet of Fending	Instance	The Drowned City of Skalla
Arhat Bracelets of Casting	Instance	Ala Mhigo	The Temple of the Fist	Kugane Castle
Arhat Bracelets of Healing	Instance	Ala Mhigo	The Temple of the Fist	Kugane Castle
Yanxian Bracelets of Casting	Instance	Doma Castle
Skallic Amulet of Slaying	Instance	The Drowned City of Skalla
Valerian Priest's Bracelet	Instance	Castrum Abania
Arhat Bracelets of Slaying	Instance	Ala Mhigo	The Temple of the Fist	Kugane Castle
Yanxian Bracelets of Slaying	Instance	Doma Castle
Yanxian Bracelets of Fending	Instance	Doma Castle
Xenobian Paladin's Bracelet	Instance	Castrum Abania
Skallic Amulet of Aiming	Instance	The Drowned City of Skalla
Valerian Brawler's Bracelet	Instance	Castrum Abania
Nomad's Wristbands of Fending	Instance	Bardam's Mettle
Valerian Dark Priest's Bracelet	Instance	Castrum Abania
Lakshmi's Bracelet of Casting	Instance	Emanation (Extreme)
Yanxian Bracelets of Aiming	Instance	Doma Castle
Yanxian Bracelets of Healing	Instance	Doma Castle
Legendary Kamuy Fife	Instance	The Minstrel's Ballad: Shinryu's Domain
Alte Roite Prism	Instance	Deltascape V4.0 (Savage)
Air Force Identification Key	Instance	Sigmascape V4.0 (Savage)
Rathalos Whistle	Instance	The Great Hunt (Extreme)
Euphonious Kamuy Fife	Instance	Hells' Kier (Extreme)
Auspicious Kamuy Fife	Instance	The Jade Stoa (Extreme)
Model O Identification Key	Instance	Alphascape V4.0 (Savage)
Hallowed Kamuy Fife	Instance	The Wreath of Snakes (Extreme)
Lunar Kamuy Fife	Instance	The Minstrel's Ballad: Tsukuyomi's Pain
Morbol Seedling	Instance	The Aurum Vale
Slime Puddle	Instance	Copperbell Mines (Hard)
Bite-sized Pudding	Instance	The Wanderer's Palace
Demon Brick	Instance	Amdapor Keep
Voeburtite Necklace of Casting	Instance	Dohn Mheg
Voeburtite Necklace of Slaying	Instance	Dohn Mheg
Voeburtite Necklace of Fending	Instance	Dohn Mheg
Atrociraptorskin Necklace of Casting	Acquire	Bluespirit Necklace Coffer
Hematite Choker of Casting	Acquire	White Oak Necklace Coffer
Voeburtite Necklace of Healing	Instance	Dohn Mheg
Omega Choker of Healing	Instance	Alphascape V1.0 (Savage)
Diaspore Choker of Healing	Acquire	Deepgold Necklace Coffer
Augmented Scaevan Choker of Aiming	Acquire	Scaevan Accessories of Aiming Coffer
Diaspore Choker of Slaying	Acquire	Deepgold Necklace Coffer
Lakeland Necklace of Healing	Instance	Holminster Switch
Augmented Scaevan Choker of Fending	Acquire	Scaevan Accessories of Fending Coffer
Augmented Scaevan Choker of Casting	Acquire	Scaevan Accessories of Casting Coffer
Omega Choker of Aiming	Instance	Alphascape V1.0 (Savage)
Omega Choker of Fending	Instance	Alphascape V1.0 (Savage)
Hematite Choker of Aiming	Acquire	White Oak Necklace Coffer
Lakeland Necklace of Slaying	Instance	Holminster Switch
Diaspore Choker of Aiming	Acquire	Deepgold Necklace Coffer
Lakeland Necklace of Casting	Instance	Holminster Switch
Atrociraptorskin Necklace of Healing	Acquire	Bluespirit Necklace Coffer
Omega Choker of Slaying	Instance	Alphascape V1.0 (Savage)
Voeburtite Necklace of Aiming	Instance	Dohn Mheg
Hematite Choker of Slaying	Acquire	White Oak Necklace Coffer
Augmented Scaevan Choker of Slaying	Acquire	Scaevan Accessories of Slaying Coffer
Lakeland Necklace of Aiming	Instance	Holminster Switch
Diaspore Choker of Fending	Acquire	Deepgold Necklace Coffer
Lakeland Necklace of Fending	Instance	Holminster Switch
Hematite Choker of Fending	Acquire	White Oak Necklace Coffer
Augmented Scaevan Choker of Healing	Acquire	Scaevan Accessories of Healing Coffer
Diaspore Choker of Casting	Acquire	Deepgold Necklace Coffer
Omega Choker of Casting	Instance	Alphascape V1.0 (Savage)
Hematite Choker of Healing	Acquire	White Oak Necklace Coffer
Sarouel of the Divine Hero	Instance	Hullbreaker Isle	The Tam-Tara Deepcroft (Hard)
Darklight Trousers	Instance	Halatali (Hard)
Breeches of Divine Wisdom	Instance	The Tam-Tara Deepcroft (Hard)	The Stone Vigil (Hard)
Sarouel of the Divine Light	Instance	Hullbreaker Isle	The Stone Vigil (Hard)
Royal Breeches	Instance	The Labyrinth of the Ancients
Cashmere Skirt of Healing	Acquire	Astrologian's Attire Coffer
Breeches of the Divine War	Instance	Hullbreaker Isle	The Tam-Tara Deepcroft (Hard)
Heavy Darklight Flanchard	Instance	Brayflox's Longstop (Hard)
Breeches of Light	Instance	The Labyrinth of the Ancients
Onion Sarouel	Instance	The Labyrinth of the Ancients
Fistfighter's Breeches	Instance	Halatali (Hard)
Tonban of Divine Death	Instance	The Tam-Tara Deepcroft (Hard)	The Stone Vigil (Hard)
Darklight Subligar	Instance	The Lost City of Amdapor	Brayflox's Longstop (Hard)
Crimson Breeches	Instance	The Labyrinth of the Ancients
Protector's Trousers	Instance	The Lost City of Amdapor	Halatali (Hard)
Hussar's Breeches	Instance	The Lost City of Amdapor	Brayflox's Longstop (Hard)
Allagan Breeches of Healing	Instance	The Binding Coil of Bahamut - Turn 5
Fuma Hakama	Instance	The Labyrinth of the Ancients
Ballad Sarouel	Instance	The Labyrinth of the Ancients
Tonban of the Divine Harvest	Instance	Hullbreaker Isle	The Stone Vigil (Hard)
